timestamp,host,souce_ip,username,dest_port,event_type,status
2025-11-20T14:14:55.108026Z,router2,10.0.0.25,root,10064,login_failed,401
2025-11-20T14:26:34.108026Z,server1,10.0.0.33,guest,2496,config_change,204
2025-11-20T13:59:28.108026Z,fw1,10.0.0.23,user1,9366,port_probe,900
2025-11-20T14:16:46.108026Z,router2,10.0.0.5,guest,4845,config_change,204
2025-11-20T13:52:49.108026Z,server1,10.0.0.21,user1,54298,login_failed,401
2025-11-20T14:10:06.108026Z,fw1,10.0.0.37,guest,27567,port_probe,900
2025-11-20T14:21:05.108026Z,server1,10.0.0.27,guest,58970,port_probe,900
2025-11-20T14:09:37.108026Z,fw1,10.0.0.7,root,62332,port_probe,900
2025-11-20T14:18:57.108026Z,fw1,10.0.0.29,admin,55101,login_failed,401
2025-11-20T14:30:51.108026Z,fw1,10.0.0.10,root,4213,config_change,204
2025-11-20T14:47:25.108026Z,router2,10.0.0.29,guest,45956,port_probe,900
2025-11-20T14:33:04.108026Z,server1,10.0.0.14,root,28048,login_success,200
2025-11-20T14:15:48.108026Z,router1,10.0.0.13,guest,16068,port_scan_attempt,905
2025-11-20T14:27:59.108026Z,server1,10.0.0.6,guest,37335,port_scan_attempt,905
2025-11-20T14:24:03.108026Z,router2,10.0.0.25,root,46477,port_probe,900
2025-11-20T14:45:32.108026Z,fw1,10.0.0.39,guest,55949,port_scan_attempt,905
2025-11-20T14:48:20.108026Z,router1,10.0.0.13,user1,51086,port_scan_attempt,905
2025-11-20T14:11:24.108026Z,router2,10.0.0.26,guest,36481,port_probe,900
2025-11-20T14:13:28.108026Z,fw1,10.0.0.4,admin,22284,login_success,200
2025-11-20T14:25:35.108026Z,router1,10.0.0.11,root,54479,login_success,200
2025-11-20T14:31:00.108026Z,router1,10.0.0.17,guest,13695,config_change,204
2025-11-20T14:03:03.108026Z,router2,10.0.0.27,user1,333,port_scan_attempt,905
2025-11-20T14:14:05.108026Z,router2,10.0.0.39,user1,54137,port_scan_attempt,905
2025-11-20T13:56:00.108026Z,router1,10.0.0.21,root,52841,login_failed,401
2025-11-20T13:52:38.108026Z,router2,10.0.0.7,root,738,config_change,204
2025-11-20T14:22:48.108026Z,router1,10.0.0.37,admin,36307,port_scan_attempt,905
2025-11-20T14:46:02.108026Z,router2,10.0.0.10,user1,60309,login_failed,401
2025-11-20T14:45:20.108026Z,router1,10.0.0.29,root,28312,login_success,200
2025-11-20T14:05:11.108026Z,fw1,10.0.0.2,guest,10597,port_probe,900
2025-11-20T13:56:23.108026Z,router1,10.0.0.17,admin,10255,login_failed,401
2025-11-20T13:53:55.108026Z,router1,10.0.0.6,root,47690,config_change,204
2025-11-20T13:51:58.108026Z,fw1,10.0.0.36,admin,7214,port_scan_attempt,905
2025-11-20T14:25:23.108026Z,router2,10.0.0.26,guest,1510,login_failed,401
2025-11-20T14:03:30.108026Z,server1,10.0.0.4,root,59433,config_change,204
2025-11-20T14:12:32.108026Z,server1,10.0.0.4,root,40296,config_change,204
2025-11-20T14:23:35.108026Z,router1,10.0.0.13,root,34333,login_success,200
