timestamp,event_type,source_ip,username
2025-01-01 10:13:24,login_failed,192.168.1.10,admin
2025-01-01 10:03:39,login_failed,192.168.1.10,admin
2025-01-01 10:14:27,login_failed,192.168.1.10,admin
2025-01-01 10:07:45,login_failed,192.168.1.10,admin
2025-01-01 10:05:12,login_failed,192.168.1.10,admin
2025-01-01 10:14:00,login_failed,192.168.1.10,admin
2025-01-01 10:26:33,login_success,10.0.0.5,carol
2025-01-01 10:06:12,login_failed,192.168.1.10,admin
2025-01-01 10:03:24,login_failed,192.168.1.10,admin
2025-01-01 10:12:12,login_failed,192.168.1.10,admin
2025-01-01 10:00:27,login_failed,192.168.1.10,admin
2025-01-01 10:09:45,login_failed,192.168.1.10,admin
2025-01-01 10:00:15,login_failed,192.168.1.20,root
2025-01-01 10:04:12,login_failed,192.168.1.10,admin
2025-01-01 10:06:00,login_failed,192.168.1.20,maria
2025-01-01 09:59:19,login_success,10.0.0.12,bob
2025-01-01 09:36:14,login_success,172.16.0.3,david
2025-01-01 10:01:30,login_failed,192.168.1.10,admin
2025-01-01 10:01:20,login_failed,192.168.1.20,juan
2025-01-01 10:08:12,login_success,10.0.0.12,david
2025-01-01 10:27:43,login_failed,10.0.0.5,alice
2025-01-01 10:27:56,login_success,10.0.0.5,bob
2025-01-01 10:11:15,login_failed,192.168.1.10,admin
2025-01-01 10:11:21,login_failed,192.168.1.10,admin
2025-01-01 10:03:48,login_failed,192.168.1.10,admin
2025-01-01 09:43:58,login_success,10.0.0.5,david
2025-01-01 09:44:39,login_failed,172.16.0.3,carol
2025-01-01 10:16:50,login_failed,172.16.0.3,carol
2025-01-01 10:05:03,login_failed,192.168.1.10,admin
2025-01-01 10:02:50,login_failed,192.168.1.20,dev
2025-01-01 10:14:48,login_failed,192.168.1.10,admin
2025-01-01 10:11:06,login_failed,192.168.1.10,admin
2025-01-01 10:27:59,login_success,172.16.0.3,carol
2025-01-01 10:08:39,login_failed,192.168.1.10,admin
2025-01-01 10:00:06,login_failed,192.168.1.10,admin
2025-01-01 10:02:45,login_failed,192.168.1.20,dev
2025-01-01 10:13:36,login_failed,192.168.1.10,admin
2025-01-01 10:03:30,login_failed,192.168.1.10,admin
2025-01-01 10:10:30,login_failed,192.168.1.10,admin
2025-01-01 10:03:09,login_failed,192.168.1.10,admin
2025-01-01 10:03:50,login_failed,192.168.1.20,dev
2025-01-01 10:04:39,login_failed,192.168.1.10,admin
2025-01-01 09:59:19,login_success,10.0.0.5,carol
2025-01-01 10:09:15,login_failed,192.168.1.10,admin
2025-01-01 10:01:39,login_failed,192.168.1.10,admin
2025-01-01 10:03:51,login_failed,192.168.1.10,admin
2025-01-01 10:00:00,login_failed,192.168.1.10,admin
2025-01-01 10:00:33,login_failed,192.168.1.10,admin
2025-01-01 10:00:45,login_failed,192.168.1.20,root
2025-01-01 10:01:06,login_failed,192.168.1.10,admin
2025-01-01 10:03:36,login_failed,192.168.1.10,admin
2025-01-01 10:09:06,login_failed,192.168.1.10,admin
2025-01-01 10:06:33,login_failed,192.168.1.10,admin
2025-01-01 09:58:27,login_success,172.16.0.3,david
2025-01-01 10:09:42,login_failed,192.168.1.10,admin
2025-01-01 10:02:45,login_failed,192.168.1.10,admin
2025-01-01 10:07:24,login_failed,192.168.1.10,admin
2025-01-01 10:00:54,login_failed,192.168.1.10,admin
2025-01-01 10:16:47,login_success,10.0.0.12,carol
2025-01-01 10:03:54,login_failed,192.168.1.10,admin
2025-01-01 09:34:45,login_success,10.0.0.5,david
2025-01-01 10:20:44,login_success,10.0.0.12,david
2025-01-01 10:01:55,login_failed,192.168.1.20,root
2025-01-01 10:27:31,login_success,10.0.0.12,alice
2025-01-01 10:03:57,login_failed,192.168.1.10,admin
2025-01-01 10:01:57,login_failed,192.168.1.10,admin
2025-01-01 09:38:42,login_success,10.0.0.5,carol
2025-01-01 10:02:18,login_failed,192.168.1.10,admin
2025-01-01 10:13:18,login_failed,192.168.1.10,admin
2025-01-01 10:15:59,login_failed,10.0.0.12,bob
2025-01-01 10:04:20,login_failed,192.168.1.20,dev
2025-01-01 10:10:24,login_failed,192.168.1.10,admin
2025-01-01 10:13:54,login_failed,192.168.1.10,admin
2025-01-01 10:14:33,login_failed,192.168.1.10,admin
2025-01-01 10:01:25,login_failed,192.168.1.20,dev
2025-01-01 10:00:20,login_failed,192.168.1.20,dev
2025-01-01 10:12:45,login_failed,192.168.1.10,admin
2025-01-01 10:03:27,login_failed,192.168.1.10,admin
2025-01-01 09:55:52,login_failed,10.0.0.5,bob
2025-01-01 10:12:39,login_failed,192.168.1.10,admin
2025-01-01 10:07:42,login_failed,192.168.1.10,admin
2025-01-01 10:04:06,login_failed,192.168.1.10,admin
2025-01-01 10:00:05,login_failed,192.168.1.20,juan
2025-01-01 10:08:36,login_failed,192.168.1.10,admin
2025-01-01 10:01:45,login_failed,192.168.1.20,juan
2025-01-01 10:04:30,login_failed,192.168.1.10,admin
2025-01-01 10:09:00,login_failed,192.168.1.10,admin
2025-01-01 10:20:03,login_success,10.0.0.12,bob
2025-01-01 09:58:27,login_failed,172.16.0.3,alice
2025-01-01 09:44:41,login_failed,10.0.0.5,alice
2025-01-01 10:28:44,login_success,10.0.0.5,alice
2025-01-01 09:41:59,login_failed,172.16.0.3,alice
2025-01-01 09:48:53,login_success,172.16.0.3,bob
2025-01-01 10:02:00,login_failed,192.168.1.20,juan
2025-01-01 10:04:07,login_success,172.16.0.3,carol
2025-01-01 09:33:19,login_failed,172.16.0.3,david
2025-01-01 10:04:18,login_failed,192.168.1.10,admin
2025-01-01 10:03:45,login_failed,192.168.1.10,admin
2025-01-01 09:36:48,login_success,10.0.0.12,bob
2025-01-01 10:00:45,login_failed,192.168.1.10,admin
2025-01-01 10:12:30,login_failed,192.168.1.10,admin
2025-01-01 09:46:02,login_success,10.0.0.5,bob
2025-01-01 10:00:57,login_failed,192.168.1.10,admin
2025-01-01 10:01:50,login_failed,192.168.1.20,juan
2025-01-01 10:02:40,login_failed,192.168.1.20,juan
2025-01-01 10:02:48,login_failed,192.168.1.10,admin
2025-01-01 10:11:42,login_failed,192.168.1.10,admin
2025-01-01 10:01:05,login_failed,192.168.1.20,maria
2025-01-01 10:02:35,login_failed,192.168.1.20,maria
2025-01-01 10:06:36,login_failed,192.168.1.10,admin
2025-01-01 10:06:51,login_failed,192.168.1.10,admin
2025-01-01 10:04:04,login_success,10.0.0.5,david
2025-01-01 10:02:55,login_failed,192.168.1.20,dev
2025-01-01 10:01:15,login_failed,192.168.1.10,admin
2025-01-01 10:00:39,login_success,10.0.0.12,carol
2025-01-01 09:58:42,login_success,172.16.0.3,carol
2025-01-01 10:12:24,login_failed,192.168.1.10,admin
2025-01-01 10:11:54,login_failed,192.168.1.10,admin
2025-01-01 10:05:51,login_failed,192.168.1.10,admin
2025-01-01 10:02:06,login_failed,192.168.1.10,admin
2025-01-01 10:11:51,login_failed,192.168.1.10,admin
2025-01-01 10:08:48,login_failed,192.168.1.10,admin
2025-01-01 10:01:40,login_failed,192.168.1.20,dev
2025-01-01 10:07:39,login_failed,192.168.1.10,admin
2025-01-01 09:54:45,login_success,172.16.0.3,carol
2025-01-01 10:11:24,login_failed,192.168.1.10,admin
2025-01-01 09:43:13,login_success,10.0.0.5,david
2025-01-01 10:10:12,login_failed,192.168.1.10,admin
2025-01-01 10:06:18,login_failed,192.168.1.10,admin
2025-01-01 10:05:40,login_failed,192.168.1.20,maria
2025-01-01 10:01:33,login_failed,192.168.1.10,admin
2025-01-01 10:05:39,login_failed,192.168.1.10,admin
2025-01-01 10:13:51,login_failed,192.168.1.10,admin
2025-01-01 10:10:09,login_failed,192.168.1.10,admin
2025-01-01 10:07:00,login_failed,192.168.1.10,admin
2025-01-01 10:02:51,login_failed,192.168.1.10,admin
2025-01-01 10:09:36,login_failed,192.168.1.10,admin
2025-01-01 10:01:12,login_failed,192.168.1.10,admin
2025-01-01 10:00:51,login_failed,192.168.1.10,admin
2025-01-01 10:03:25,login_failed,192.168.1.20,juan
2025-01-01 10:03:18,login_failed,192.168.1.10,admin
2025-01-01 10:10:27,login_failed,192.168.1.10,admin
2025-01-01 10:16:01,login_failed,10.0.0.5,alice
2025-01-01 10:04:42,login_failed,192.168.1.10,admin
2025-01-01 10:04:00,login_failed,192.168.1.20,dev
2025-01-01 10:20:05,login_success,172.16.0.3,carol
2025-01-01 10:01:09,login_failed,192.168.1.10,admin
2025-01-01 10:00:50,login_failed,192.168.1.20,juan
2025-01-01 10:13:06,login_failed,192.168.1.10,admin
2025-01-01 10:13:22,login_failed,10.0.0.12,carol
2025-01-01 10:00:15,login_failed,192.168.1.10,admin
